,Homens,Mulheres,Total,,,,,,,,,,,,,,,,,,,,,,
0-4,86157,82657,168814,,168814,176363,208505,224153,252298,242162,209482,183738,175371,156114,121792,95618,76388,53851,42887,27669,20466,10765,4073,1365,311
5 a 9,89624,86739,176363,,,,,,,,,,,,,,,,,,,,,,
10 a 14,105161,103344,208505,,,,,,,,,,,,,,,,,,,,,,
15 a 19,109550,114603,224153,,,,,,,,,,,,,,,,,,,,,,
20 a 24,120603,131695,252298,,,,,,,,,,,,,,,,,,,,,,
25 a 29,114789,127373,242162,,,,,,,,,,,,,,,,,,,,,,
30 a 34,98011,111471,209482,,,,,,,,,,,,,,,,,,,,,,
35 a 39,84473,99265,183738,,,,,,,,,,,,,,,,,,,,,,
40 a 44,80300,95071,175371,,,,,,,,,,,,,,,,,,,,,,
45 a 49,70819,85295,156114,,,,,,,,,,,,,,,,,,,,,,
50 a 54,53757,68035,121792,,,,,,,,,,,,,,,,,,,,,,
55 a 59,41265,54353,95618,,,,,,,,,,,,,,,,,,,,,,
60 a 64,32432,43956,76388,,,,,,,,,,,,,,,,,,,,,,
65 a 69,22115,31736,53851,,,,,,,,,,,,,,,,,,,,,,
70 a 74,16615,26272,42887,,,,,,,,,,,,,,,,,,,,,,
75 a 79,10210,17459,27669,,,,,,,,,,,,,,,,,,,,,,
80 a 84,6869,13597,20466,,,,,,,,,,,,,,,,,,,,,,
85 a 89,3555,7210,10765,,,,,,,,,,,,,,,,,,,,,,
90 a 94,1176,2897,4073,,,,,,,,,,,,,,,,,,,,,,
95 a 99,360,1005,1365,,,,,,,,,,,,,,,,,,,,,,
100 mais,77,234,311,,,,,,,,,,,,,,,,,,,,,,
