,Homens,Mulheres,Total,,,,,,,,,,,,,,,,,,,,,,
0-4,82548,79972,162520,,162520,165911,180531,175515,180683,185164,167896,138742,114908,92992,74744,54327,38053,25642,18147,12148,7638,3873,1557,551,172
5 a 9,84622,81289,165911,,,,,,,,,,,,,,,,,,,,,,
10 a 14,90583,89948,180531,,162520,165911,180531,175515,180683,185164,167896,138742,114908,92992,74744,54327,38053,25642,18147,12148,7638,3873,1557,551,172
15 a 19,85459,90056,175515,,,,,,,,,,,,,,,,,,,,,,
20 a 24,88051,92632,180683,,,,,,,,,,,,,,,,,,,,,,
25 a 29,89991,95173,185164,,2182763,,,,,,,,,,,,,,,,,,,,
30 a 34,81086,86810,167896,,1801714,,,,,,,,,,,,,,,,,,,,
35 a 39,67048,71694,138742,,,,,,,,,,,,,,,,,,,,,,
40 a 44,56625,58283,114908,,196891.7613,200999.9323,218711.9527,212635.1063,218896.0996,224324.7975,203404.745,168084.8926,139210.1803,112659.1107,90551.7955,65816.7531,46100.92414,31065.09071,21984.95442,14717.2109,9253.379723,4692.110456,1886.293824,667.5323681,208.3767102
45 a 49,45309,47683,92992,,,,,,,,,,,,,,,,,,,,,,
50 a 54,35802,38942,74744,,,,,,,,,,,,,,,,,,,,,,
55 a 59,25738,28589,54327,,,,,,,,,,,,,,,,,,,,,,
60 a 64,17532,20521,38053,,,,,,,,,,,,,,,,,,,,,,
65 a 69,11484,14158,25642,,,,,,,,,,,,,,,,,,,,,,
70 a 74,7664,10483,18147,,,,,,,,,,,,,,,,,,,,,,
75 a 79,4894,7254,12148,,,,,,,,,,,,,,,,,,,,,,
80 a 84,2922,4716,7638,,,,,,,,,,,,,,,,,,,,,,
85 a 89,1371,2502,3873,,,,,,,,,,,,,,,,,,,,,,
90 a 94,501,1056,1557,,,,,,,,,,,,,,,,,,,,,,
95 a 99,151,400,551,,,,,,,,,,,,,,,,,,,,,,
100 mais,61,111,172,,,,,,,,,,,,,,,,,,,,,,
