FAIXA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Letalidade por infectado,0.000026,0.000026,0.000148,0.000148,0.0006,0.0006,0.00146,0.00146,0.00295,0.00295,0.0125,0.0125,0.0399,0.0399,0.0861,0.1
Hospitalização entre infectados,0.0001,0.0001,0.0003,0.0003,0.0104,0.0104,0.0343,0.0343,0.0425,0.0425,0.0816,0.0816,0.118,0.118,0.166,0.17
xI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dI,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
dL,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
dH,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
dA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
eta,3.33E-05,3.33E-05,0.0001,0.0001,0.003466667,0.003466667,0.011433333,0.011433333,0.014166667,0.014166667,0.0272,0.0272,0.039333333,0.039333333,0.055333333,0.056666667
rho,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
alpha,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
